Stacey Cook,Alpine Skiing,CA,33,64,F,0,0,0
Breezy Johnson,Alpine Skiing,WY,22,68,F,0,0,0
Tricia  Mangan,Alpine Skiing,NY,20,68,F,0,0,0
Megan McJames,Alpine Skiing,UT,30,66,F,0,0,0
Alice McKennis,Alpine Skiing,CO,28,66,F,0,0,0
Alice Merryweather,Alpine Skiing,MA,28,68,F,0,0,0
Laurenne Ross,Alpine Skiing,OR,29,67,F,0,0,0
Mikaela Shiffrin,Alpine Skiing,CO,22,67,F,1,0,0
Resi Stiegler,Alpine Skiing,WY,32,67,F,0,0,0
Lindsey Vonn,Alpine Skiing,CO,33,70,F,1,0,1
Jacqueline Wiles,Alpine Skiing,OR,25,67,F,0,0,0
Bryce Bennett,Alpine Skiing,CA,25,79,M,0,0,0
Tommy Biesemeyer,Alpine Skiing,NY,29,72,M,0,0,0
David Chodounsky,Alpine Skiing,CO,33,71,M,0,0,0
Ryan Cochran-Siegle,Alpine Skiing,VT,25,73,M,0,0,0
Mark Engel,Alpine Skiing,CA,26,69,M,0,0,0
Tommy Ford,Alpine Skiing,OR,28,71,M,0,0,0
Jared Goldberg,Alpine Skiing,UT,26,72,M,0,0,0
Tim Jitloff,Alpine Skiing,NV,33,71,M,0,0,0
Nolan Kasper,Alpine Skiing,VT,28,68,M,0,0,0
Ted Ligety,Alpine Skiing,UT,33,71,M,2,0,0
Wiley Maple,Alpine Skiing,CO,27,74,M,0,0,0
Steven Nyman,Alpine Skiing,UT,36,76,M,0,0,0
Andrew Weibrecht,Alpine Skiing,NY,32,67,M,0,1,1
Emily Dreissigacker,Biathlon,VT,29,69,F,0,0,0
Susan Dunklee,Biathlon,VT,32,67,F,0,0,0
Clare Egan,Biathlon,ME,30,68,F,0,0,0
Maddie Phaneuf,Biathlon,NY,22,64,F,0,0,0
Joanne Reid,Biathlon,CO,25,65,F,0,0,0
Lowell Bailey,Biathlon,NY,36,73,M,0,0,0
Tim Burke,Biathlon,NY,36,71,M,0,0,0
Russell Currier,Biathlon,ME,30,66,M,0,0,0
Sean Doherty,Biathlon,NH,22,72,M,0,0,0
Leif Nordgren,Biathlon,MN,28,74,M,0,0,0
Aja Evans,Bobsled,IL,29,70,F,0,0,1
Lauren Gibbs,Bobsled,CO,33,70,F,0,0,0
Jamie Greubel Poser,Bobsled,PA,34,69,F,0,0,1
Elana Meyers Taylor,Bobsled,GA,33,67,F,0,1,1
Hakeem Abdul-Saboor,Bobsled,VA,30,72,M,0,0,0
Codie Bascue,Bobsled,NY,23,69,M,0,0,0
Nick Cunningham,Bobsled,CA,32,71,M,0,0,0
Chris Fogt,Bobsled,UT,34,72,M,0,0,1
Chris Kinney,Bobsled,GA,29,74,M,0,0,0
Steven Langton,Bobsled,MA,34,75,M,0,0,2
Sam McGuffie,Bobsled,TX,28,71,M,0,0,0
Sam Michener,Bobsled,OR,30,69,M,0,0,0
Justin Olsen,Bobsled,TX,30,74,M,1,0,0
Carlo Valdes,Bobsled,CA,28,74,M,0,0,0
Nathan Weber,Bobsled,CO,31,74,M,0,0,0
Evan Weinstock,Bobsled,NV,26,76,M,0,0,0
Sadie Bjornsen,Cross-Country Skiing,WA,28,69,F,0,0,0
Rosie Brennan,Cross-Country Skiing,AK,29,66,F,0,0,0
Sophie Caldwell,Cross-Country Skiing,VT,27,67,F,0,0,0
Jessie Diggins,Cross-Country Skiing,MN,26,64,F,0,0,0
Rosie Frankowski,Cross-Country Skiing,MN,26,62,F,0,0,0
Annie Hart,Cross-Country Skiing,MN,25,67,F,0,0,0
Kaitlynn Miller,Cross-Country Skiing,VT,26,67,F,0,0,0
Caitlin Patterson,Cross-Country Skiing,VT,28,69,F,0,0,0
Kikkan Randall,Cross-Country Skiing,AK,35,65,F,0,0,0
Ida Sargent,Cross-Country Skiing,VT,30,64,F,0,0,0
Liz Stephen,Cross-Country Skiing,VT,31,62,F,0,0,0
Erik Bjornsen,Cross-Country Skiing,WA,26,73,M,0,0,0
Patrick Caldwell,Cross-Country Skiing,NH,23,72,M,0,0,0
Simi Hamilton,Cross-Country Skiing,CO,30,71,M,0,0,0
Logan Hanneman,Cross-Country Skiing,AK,24,73,M,0,0,0
Reese Hanneman,Cross-Country Skiing,AK,28,71,M,0,0,0
Noah Hoffman,Cross-Country Skiing,CO,28,69,M,0,0,0
Tyler Kornfield,Cross-Country Skiing,AK,27,74,M,0,0,0
Andy Newell,Cross-Country Skiing,VT,34,70,M,0,0,0
Scott Patterson,Cross-Country Skiing,VT,26,71,M,0,0,0
Cory Christensen,Curling,MN,23,64,F,0,0,0
Aileen Geving,Curling,MN,31,65,F,0,0,0
Becca Hamilton,Curling,WI,27,65,F,0,0,0
Tabitha Peterson,Curling,MN,28,64,F,0,0,0
Nina Roth,Curling,WI,29,65,F,0,0,0
Tyler George,Curling,MN,35,72,M,0,0,0
Matt Hamilton,Curling,WI,28,74,M,0,0,0
John Landsteiner,Curling,MN,27,70,M,0,0,0
Joe Polo,Curling,MN,35,69,M,0,0,1
John Shuster,Curling,MN,35,72,M,0,0,1
Karen Chen,Figure Skating,CA,18,60,F,0,0,0
Madison Chock,Figure Skating,CA,25,62,F,0,0,0
Madison Hubbell,Figure Skating,OH,26,68,F,0,0,0
Mirai Nagasu,Figure Skating,CA,24,64,F,0,0,0
Alexa Scimeca Knierim,Figure Skating,IL,26,62,F,0,0,0
Maia Shibutani,Figure Skating,MI,23,63,F,0,0,0
Bradie Tennell,Figure Skating,IL,20,66,F,0,0,0
Evan Bates,Figure Skating,MI,28,73,M,0,0,0
Nathan Chen,Figure Skating,UT,18,66,M,0,0,0
Zachary Donohue,Figure Skating,CT,27,74,M,0,0,0
Chris Knierim,Figure Skating,CA,30,74,M,0,0,0
Adam Rippon,Figure Skating,CA,28,67,M,0,0,0
Alex Shibutani,Figure Skating,MI,26,72,M,0,0,0
Vincent Zhou,Figure Skating,CA,17,67,M,0,0,0
Maddie Bowman,Freestyle Skiing,CA,24,61,F,1,0,0
Ashley Caldwell,Freestyle Skiing,VA,24,67,F,0,0,0
Caroline Claire,Freestyle Skiing,VT,18,68,F,0,0,0
Annalisa Drew,Freestyle Skiing,MA,24,64,F,0,0,0
Tess Johnson,Freestyle Skiing,CO,17,64,F,0,0,0
Jaelin Kauf,Freestyle Skiing,WY,21,64,F,0,0,0
Devin Logan,Freestyle Skiing,VT,24,69,F,0,1,0
Keaton McCargo,Freestyle Skiing,CO,22,66,F,0,0,0
Kiley McKinnon,Freestyle Skiing,CT,22,69,F,0,0,0
Madison Olsen,Freestyle Skiing,UT,22,67,F,0,0,0
Morgan Schild,Freestyle Skiing,NY,20,67,F,0,0,0
Brita Sigourney,Freestyle Skiing,CA,28,67,F,0,0,0
Darian Stevens,Freestyle Skiing,MT,21,61,F,0,0,0
Maggie Voisin,Freestyle Skiing,MT,19,63,F,0,0,0
Casey Andringa,Freestyle Skiing,CO,22,71,M,0,0,0
Aaron Blunck,Freestyle Skiing,CO,21,72,M,0,0,0
Mac Bohonnon,Freestyle Skiing,CT,22,68,M,0,0,0
Alex Ferreira,Freestyle Skiing,CO,23,69,M,0,0,0
Nick Goepper,Freestyle Skiing,IN,23,72,M,0,0,1
Alex Hall,Freestyle Skiing,UT,19,76,M,0,0,0
Gus Kenworthy,Freestyle Skiing,CO,26,70,M,0,1,0
Jon Lillis,Freestyle Skiing,NY,23,66,M,0,0,0
Eric Loughran,Freestyle Skiing,NH,22,70,M,0,0,0
Troy Murphy,Freestyle Skiing,ME,25,71,M,0,0,0
Emerson Smith,Freestyle Skiing,VT,21,73,M,0,0,0
McRae Williams,Freestyle Skiing,UT,27,74,M,0,0,0
Bradley Wilson,Freestyle Skiing,MT,25,70,M,0,0,0
David Wise,Freestyle Skiing,NV,27,73,M,1,0,0
Torin Yater-Wallace,Freestyle Skiing,CO,22,69,M,0,0,0
Cayla Barnes,Ice Hockey,CA,19,61,F,0,0,0
Kacey Bellamy,Ice Hockey,MA,30,67,F,0,2,0
Hannah Brandt,Ice Hockey,MN,24,66,F,0,0,0
Dani Cameranesi,Ice Hockey,MN,22,65,F,0,0,0
Kendall Coyne,Ice Hockey,IL,25,62,F,0,1,0
Brianna Decker,Ice Hockey,WI,26,64,F,0,1,0
Meghan Duggan,Ice Hockey,MA,30,70,F,0,2,0
